time(s),dP1(Pa)
1519510919.881406,  0.735668
1519510919.910620,  0.688206
1519510919.939837,  0.664474
1519510919.969047,  0.711937
1519510919.998261,  0.593281
1519510920.027474,  0.617012
1519510920.056691,  0.688206
1519510920.085913,  0.664474
1519510920.115135,  0.688206
1519510920.144359,  0.664474
1519510920.173576,  0.688206
1519510920.202803,  0.688206
1519510920.232024,  0.664474
1519510920.261247,  0.664474
1519510920.290520,  0.617012
1519510920.319762,  0.640743
1519510920.348986,  0.664474
1519510920.378229,  0.664474
1519510920.407469,  0.640743
1519510920.436690,  0.664474
1519510920.465909,  0.617012
1519510920.495118,  0.617012
1519510920.524344,  0.617012
1519510920.553570,  0.664474
1519510920.582791,  0.711937
1519510920.612007,  0.617012
1519510920.641232,  0.664474
1519510920.670454,  0.664474
1519510920.699678,  0.711937
1519510920.728900,  0.688206
1519510920.758121,  0.664474
1519510920.787338,  0.711937
1519510920.816550,  0.688206
1519510920.845775,  0.688206
1519510920.875037,  0.735668
1519510920.904279,  0.617012
1519510920.933525,  0.711937
1519510920.962770,  0.617012
1519510920.992003,  0.711937
1519510921.021260,  0.640743
1519510921.050560,  0.664474
1519510921.079815,  0.688206
1519510921.109052,  0.640743
1519510921.138285,  0.711937
1519510921.167508,  0.688206
1519510921.196733,  0.711937
1519510921.225949,  0.640743
1519510921.255170,  0.617012
1519510921.284416,  0.664474
1519510921.313656,  0.688206
1519510921.342884,  0.688206
1519510921.372088,  0.617012
1519510921.401309,  0.664474
1519510921.430519,  0.688206
1519510921.459730,  0.664474
1519510921.488944,  0.711937
1519510921.518158,  0.688206
1519510921.547368,  0.711937
1519510921.576584,  0.688206
1519510921.605799,  0.688206
1519510921.635036,  0.593281
1519510921.664254,  0.664474
1519510921.693474,  0.664474
1519510921.722698,  0.711937
1519510921.751928,  0.664474
1519510921.781181,  0.688206
1519510921.810443,  0.688206
1519510921.839686,  0.711937
1519510921.868908,  0.640743
1519510921.898130,  0.664474
1519510921.927354,  0.688206
1519510921.956574,  0.688206
1519510921.985797,  0.664474
1519510922.015025,  0.664474
1519510922.044247,  0.640743
1519510922.073460,  0.617012
1519510922.102671,  0.664474
1519510922.131882,  0.711937
1519510922.161100,  0.688206
1519510922.190321,  0.711937
1519510922.219551,  0.735668
1519510922.248787,  0.688206
1519510922.278020,  0.688206
1519510922.307244,  0.664474
1519510922.336468,  0.617012
1519510922.365684,  0.664474
1519510922.394916,  0.688206
1519510922.424134,  0.688206
1519510922.453350,  0.640743
1519510922.482576,  0.640743
1519510922.511797,  0.640743
1519510922.541028,  0.688206
1519510922.570241,  0.688206
1519510922.599469,  0.664474
1519510922.628684,  0.711937
1519510922.657903,  0.617012
1519510922.687111,  0.664474
1519510922.716333,  0.688206
1519510922.745550,  0.711937
1519510922.774769,  0.688206
1519510922.803994,  0.664474
1519510922.833226,  0.593281
1519510922.862450,  0.664474
1519510922.891662,  0.711937
1519510922.920890,  0.640743
1519510922.950111,  0.640743
1519510922.979325,  0.664474
1519510923.008552,  0.688206
1519510923.037770,  0.640743
1519510923.067008,  0.664474
1519510923.096227,  0.664474
1519510923.125443,  0.617012
1519510923.154664,  0.664474
1519510923.183897,  0.640743
1519510923.213125,  0.640743
1519510923.242349,  0.664474
1519510923.271574,  0.711937
1519510923.300870,  0.664474
1519510923.330136,  0.688206
1519510923.359389,  0.640743
1519510923.388632,  0.640743
1519510923.417887,  0.664474
1519510923.447134,  0.664474
1519510923.476375,  0.664474
1519510923.505622,  0.735668
1519510923.534866,  0.688206
1519510923.564110,  0.664474
1519510923.593359,  0.664474
1519510923.622605,  0.688206
1519510923.651842,  0.711937
1519510923.681089,  0.735668
1519510923.710332,  0.688206
1519510923.739569,  0.711937
1519510923.768806,  0.711937
1519510923.798049,  0.640743
